date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2010-09-09,2010,0,0,NO,MIN,1635.077,1584.199,0.6608417051576843,14,9,1.0
2010-09-12,2010,0,0,HOU,IND,1546.211,1608.682,0.5036394592844978,34,24,1.0
2010-09-12,2010,0,0,LA,ARI,1316.472,1533.868,0.2937455027695524,13,17,0.0
2010-09-12,2010,0,0,SEA,SF,1401.591,1498.466,0.4542564551463171,31,6,1.0
2010-09-12,2010,0,0,WAS,DAL,1430.5,1592.462,0.3639737377201078,13,7,1.0
2010-09-12,2010,0,0,TB,CLE,1428.762,1436.429,0.5817679604593616,17,14,1.0
2010-09-12,2010,0,0,BUF,MIA,1476.435,1482.581,0.5838967779371752,10,15,0.0
2010-09-12,2010,0,0,CHI,DET,1476.273,1310.527,0.7905561084228526,19,14,1.0
2010-09-12,2010,0,0,JAX,DEN,1441.55,1467.711,0.5556621467635778,24,17,1.0
2010-09-12,2010,0,0,NE,CIN,1566.741,1499.37,0.6817853524295905,38,24,1.0
2010-09-12,2010,0,0,NYG,CAR,1499.755,1565.042,0.499586973892889,31,18,1.0
2010-09-12,2010,0,0,TEN,LV,1535.313,1383.262,0.7772039451000612,38,13,1.0
2010-09-12,2010,0,0,PHI,GB,1577.744,1571.948,0.6004965596635709,20,27,0.0
2010-09-12,2010,0,0,PIT,ATL,1562.39,1538.437,0.6252880039244317,15,9,1.0
2010-09-13,2010,0,0,NYJ,BAL,1586.636,1580.034,0.6016091071434102,9,10,0.0
2010-09-13,2010,0,0,KC,LAC,1400.114,1614.113,0.2978186017150048,21,14,1.0
2010-09-19,2010,0,0,DEN,SEA,1449.552,1437.675,0.608863996480668,31,14,1.0
2010-09-19,2010,0,0,DET,PHI,1303.734,1551.939,0.2583403095151155,32,35,0.0
2010-09-19,2010,0,0,GB,BUF,1597.752,1454.936,0.7678632570385286,34,7,1.0
2010-09-19,2010,0,0,NYJ,NE,1578.015,1582.998,0.5855224280817173,28,14,1.0
2010-09-19,2010,0,0,TEN,PIT,1548.527,1576.407,0.5532176389642532,11,19,0.0
2010-09-19,2010,0,0,WAS,HOU,1456.394,1569.988,0.4305200817226418,27,30,0.0
2010-09-19,2010,0,0,MIN,MIA,1572.653,1504.08,0.6832846241382218,10,14,0.0
2010-09-19,2010,0,0,LAC,JAX,1582.788,1459.709,0.7469988769869497,38,13,1.0
2010-09-19,2010,0,0,LV,LA,1370.048,1307.629,0.6755690668222568,16,14,1.0
2010-09-19,2010,0,0,CLE,KC,1425.127,1431.439,0.5836645920982997,14,16,0.0
2010-09-19,2010,0,0,DAL,CHI,1566.568,1483.066,0.7015827603787403,20,27,0.0
2010-09-19,2010,0,0,IND,NYG,1584.905,1526.171,0.6709025879386807,38,14,1.0
2010-09-19,2010,0,0,ATL,ARI,1524.421,1542.711,0.5668189999929264,41,7,1.0
2010-09-19,2010,0,0,CAR,TB,1538.626,1440.063,0.7194114960553095,7,20,0.0
2010-09-19,2010,0,0,CIN,BAL,1483.113,1588.655,0.4419187518125124,15,10,1.0
2010-09-20,2010,0,0,SF,NO,1462.382,1646.623,0.3348329697541107,22,25,0.0
2010-09-26,2010,0,0,HOU,DAL,1581.667,1535.278,0.6550261694023087,13,27,0.0
2010-09-26,2010,0,0,LA,WAS,1300.891,1444.715,0.3884701540438345,30,16,1.0
2010-09-26,2010,0,0,SEA,LAC,1415.828,1597.976,0.3375216780602492,27,20,1.0
2010-09-26,2010,0,0,TB,PIT,1481.084,1601.135,0.4214316633667938,13,38,0.0
2010-09-26,2010,0,0,BAL,CLE,1568.281,1411.951,0.7814400173321063,24,17,1.0
2010-09-26,2010,0,0,NYG,TEN,1506.112,1523.799,0.5676710903581431,10,29,0.0
2010-09-26,2010,0,0,NE,BUF,1561.145,1440.801,0.7440118539824442,38,30,1.0
2010-09-26,2010,0,0,NO,ATL,1655.429,1554.582,0.722057812464628,24,27,0.0
2010-09-26,2010,0,0,MIN,DET,1549.238,1297.121,0.8612214520648742,24,10,1.0
2010-09-26,2010,0,0,MIA,NYJ,1527.496,1599.867,0.489393869507539,23,31,0.0
2010-09-26,2010,0,0,KC,SF,1444.615,1453.576,0.5799544516735462,31,10,1.0
2010-09-26,2010,0,0,JAX,PHI,1444.521,1558.551,0.429904850935291,3,28,0.0
2010-09-26,2010,0,0,DEN,IND,1471.4,1604.963,0.4025911102415017,13,27,0.0
2010-09-26,2010,0,0,ARI,LV,1512.549,1376.786,0.7605477233150906,24,23,1.0
2010-09-26,2010,0,0,CAR,CIN,1497.605,1503.487,0.5842659606270693,7,20,0.0
2010-09-27,2010,0,0,CHI,GB,1514.356,1611.887,0.4533204597281207,20,17,1.0
2010-10-03,2010,0,0,LA,SEA,1335.243,1444.929,0.4360439471093052,20,3,1.0
2010-10-03,2010,0,0,LAC,ARI,1568.875,1515.591,0.6639389667918438,41,10,1.0
2010-10-03,2010,0,0,PIT,BAL,1627.926,1576.539,0.6614981049463509,14,17,0.0
2010-10-03,2010,0,0,PHI,WAS,1585.954,1410.363,0.7997853159138151,12,17,0.0
2010-10-03,2010,0,0,TEN,DEN,1558.558,1450.254,0.730589994747746,20,26,0.0
2010-10-03,2010,0,0,BUF,NYJ,1430.426,1621.302,0.3263807264229097,14,38,0.0
2010-10-03,2010,0,0,NYG,CHI,1471.353,1529.741,0.5095142843161942,17,3,1.0
2010-10-03,2010,0,0,NO,CAR,1633.777,1465.915,0.7925658123408366,16,14,1.0
2010-10-03,2010,0,0,JAX,IND,1417.119,1626.109,0.3038834065552815,31,28,1.0
2010-10-03,2010,0,0,LV,HOU,1373.744,1544.298,0.352602831566628,24,31,0.0
2010-10-03,2010,0,0,GB,DET,1596.503,1290.552,0.8942933082677076,28,26,1.0
2010-10-03,2010,0,0,CLE,CIN,1403.692,1535.177,0.4054714137405328,23,20,1.0
2010-10-03,2010,0,0,ATL,SF,1576.234,1428.253,0.7731207291079191,16,14,1.0
2010-10-04,2010,0,0,MIA,NE,1506.062,1571.521,0.4993394462857413,14,41,0.0
2010-10-10,2010,0,0,LV,LAC,1359.751,1590.98,0.2775010913372883,35,27,1.0
2010-10-10,2010,0,0,IND,KC,1605.457,1469.937,0.7602928844554854,19,9,1.0
2010-10-10,2010,0,0,BUF,JAX,1410.551,1437.771,0.5541565043940151,26,36,0.0
2010-10-10,2010,0,0,CAR,CHI,1461.794,1503.255,0.5338236080184952,6,23,0.0
2010-10-10,2010,0,0,CIN,TB,1518.18,1454.293,0.6774184517883189,21,24,0.0
2010-10-10,2010,0,0,CLE,ATL,1420.69,1580.779,0.3664733449320649,10,20,0.0
2010-10-10,2010,0,0,DET,LA,1288.565,1368.52,0.4784913069556138,44,6,1.0
2010-10-10,2010,0,0,ARI,NO,1493.485,1637.898,0.3876649949633402,30,20,1.0
2010-10-10,2010,0,0,DAL,TEN,1572.647,1527.694,0.6531558776260807,27,34,0.0
2010-10-10,2010,0,0,HOU,NYG,1558.291,1497.839,0.6730824341266662,10,34,0.0
2010-10-10,2010,0,0,BAL,DEN,1595.904,1481.119,0.7378697212744056,31,17,1.0
2010-10-10,2010,0,0,SF,PHI,1423.708,1553.775,0.4074406495780951,24,27,0.0
2010-10-10,2010,0,0,WAS,GB,1442.543,1598.49,0.372026468157034,16,13,1.0
2010-10-11,2010,0,0,NYJ,MIN,1641.176,1555.807,0.7038279798087729,29,20,1.0
2010-10-17,2010,0,0,LA,LAC,1330.047,1556.635,0.2828891512874361,20,17,1.0
2010-10-17,2010,0,0,TB,NO,1474.244,1607.432,0.4031104050591657,6,31,0.0
2010-10-17,2010,0,0,NYG,DET,1543.79,1327.038,0.8350562922355885,28,20,1.0
2010-10-17,2010,0,0,CHI,SEA,1534.448,1411.653,0.7466897821554601,20,23,0.0
2010-10-17,2010,0,0,DEN,NYJ,1467.994,1653.943,0.3326467475078168,20,24,0.0
2010-10-17,2010,0,0,GB,MIA,1580.328,1472.791,0.729720073021707,20,23,0.0
2010-10-17,2010,0,0,HOU,KC,1512.339,1459.402,0.6634931323820076,35,31,1.0
2010-10-17,2010,0,0,MIN,DAL,1543.04,1544.054,0.5910561170314329,24,21,1.0
2010-10-17,2010,0,0,NE,BAL,1604.792,1609.029,0.5865642151395297,23,20,1.0
2010-10-17,2010,0,0,PHI,ATL,1564.747,1597.626,0.5460945813858111,31,17,1.0
2010-10-17,2010,0,0,PIT,CLE,1608.561,1403.843,0.8252920520584275,28,10,1.0
2010-10-17,2010,0,0,SF,LV,1412.736,1394.096,0.6180950618924945,17,9,1.0
2010-10-17,2010,0,0,WAS,IND,1460.705,1615.992,0.372914493778794,24,27,0.0
2010-10-18,2010,0,0,JAX,TEN,1464.811,1556.287,0.4619715558162144,3,30,0.0
2010-10-24,2010,0,0,BAL,BUF,1597.874,1383.511,0.8331533648121733,37,34,1.0
2010-10-24,2010,0,0,ATL,CIN,1573.396,1498.229,0.6914412899767006,39,32,1.0
2010-10-24,2010,0,0,TEN,PHI,1586.708,1588.977,0.5893087837525813,37,19,1.0
2010-10-24,2010,0,0,SEA,ARI,1434.287,1523.951,0.4645651542021187,22,10,1.0
2010-10-24,2010,0,0,NO,CLE,1632.91,1394.678,0.8513898512194796,17,30,0.0
2010-10-24,2010,0,0,MIA,PIT,1494.745,1617.725,0.4173261101776998,22,23,0.0
2010-10-24,2010,0,0,KC,JAX,1449.121,1434.39,0.6127694543082636,42,20,1.0
2010-10-24,2010,0,0,GB,MIN,1558.374,1554.058,0.5984509732646137,28,24,1.0
2010-10-24,2010,0,0,TB,LA,1448.766,1351.505,0.7178960982131056,18,17,1.0
2010-10-24,2010,0,0,DEN,LV,1457.844,1377.928,0.6972430147507959,14,59,0.0
2010-10-24,2010,0,0,CHI,WAS,1511.813,1450.773,0.6738267971062686,14,17,0.0
2010-10-24,2010,0,0,CAR,SF,1430.601,1428.904,0.5948227400097509,23,20,1.0
2010-10-24,2010,0,0,LAC,NE,1535.177,1615.947,0.4773207183510212,20,23,0.0
2010-10-25,2010,0,0,DAL,NYG,1533.036,1550.216,0.5683872150345682,35,41,0.0
2010-10-31,2010,0,0,ARI,TB,1496.173,1452.409,0.6516036960360443,35,38,0.0
2010-10-31,2010,0,0,LAC,TEN,1522.037,1610.223,0.4666821096839836,33,25,1.0
2010-10-31,2010,0,0,LA,CAR,1347.863,1441.505,0.4588739715951132,20,10,1.0
2010-10-31,2010,1,0,DEN,SF,1400.69,1418.001,0.475108063385104,16,24,0.0
2010-10-31,2010,0,0,LV,SEA,1435.083,1462.066,0.5544935485177297,33,3,1.0
2010-10-31,2010,0,0,NYJ,GB,1664.092,1570.905,0.7131224285455243,0,9,0.0
2010-10-31,2010,0,0,NE,MIN,1629.086,1541.528,0.7064479253492206,28,18,1.0
2010-10-31,2010,0,0,NO,PIT,1580.789,1623.362,0.5322302950400472,20,10,1.0
2010-10-31,2010,0,0,KC,BUF,1472.555,1379.406,0.7130776757436382,13,10,1.0
2010-10-31,2010,0,0,DET,WAS,1320.612,1470.591,0.3800871237443443,37,25,1.0
2010-10-31,2010,0,0,CIN,MIA,1486.165,1489.108,0.5883694414323609,14,22,0.0
2010-10-31,2010,0,0,DAL,JAX,1510.424,1410.956,0.7204618953160266,17,35,0.0
2010-11-01,2010,0,0,IND,HOU,1625.924,1522.62,0.7248873680297959,30,17,1.0
2010-11-07,2010,0,0,PHI,IND,1565.462,1639.413,0.4871213247354943,26,24,1.0
2010-11-07,2010,0,0,HOU,LAC,1509.131,1545.723,0.540791535125105,23,29,0.0
2010-11-07,2010,0,0,GB,DAL,1606.29,1464.569,0.7667377970887216,45,7,1.0
2010-11-07,2010,0,0,DET,NYJ,1353.691,1628.707,0.2298870170410351,20,23,0.0
2010-11-07,2010,0,0,CLE,NE,1446.799,1642.252,0.320614807878113,34,14,1.0
2010-11-07,2010,0,0,CAR,NO,1415.211,1602.996,0.3303046987682396,3,34,0.0
2010-11-07,2010,0,0,BUF,CHI,1371.984,1491.995,0.4214878076275944,19,22,0.0
2010-11-07,2010,0,0,ATL,TB,1585.46,1471.415,0.7370449682431689,27,21,1.0
2010-11-07,2010,0,0,SEA,NYG,1431.989,1572.828,0.3925599131909086,7,41,0.0
2010-11-07,2010,0,0,BAL,MIA,1601.979,1515.714,0.7049020111774859,26,10,1.0
2010-11-07,2010,0,0,LV,KC,1465.16,1479.977,0.5717210762783594,23,20,1.0
2010-11-07,2010,0,0,MIN,ARI,1528.363,1477.167,0.6612518665059667,27,24,1.0
2010-11-08,2010,0,0,CIN,PIT,1459.559,1601.155,0.3915212924165548,21,27,0.0
2010-11-11,2010,0,0,ATL,BAL,1594.924,1617.625,0.5605741695109444,26,21,1.0
2010-11-14,2010,0,0,TB,CAR,1461.951,1393.526,0.6831002262245475,31,16,1.0
2010-11-14,2010,0,0,ARI,SEA,1468.246,1405.005,0.6766053013810913,18,36,0.0
2010-11-14,2010,0,0,DEN,KC,1379.974,1468.367,0.4663855473064792,49,29,1.0
2010-11-14,2010,0,0,PIT,NE,1615.88,1598.276,0.6166863224104475,26,39,0.0
2010-11-14,2010,0,0,NYG,DAL,1599.811,1448.945,0.776020530705827,20,33,0.0
2010-11-14,2010,0,0,JAX,HOU,1456.811,1487.809,0.5487771867009962,31,24,1.0
2010-11-14,2010,0,0,IND,CIN,1628.098,1444.834,0.8067645486406839,23,17,1.0
2010-11-14,2010,0,0,MIA,TEN,1500.068,1586.537,0.469142889757586,29,17,1.0
2010-11-14,2010,0,0,CHI,MIN,1503.396,1537.283,0.544655900680801,27,13,1.0
2010-11-14,2010,0,0,CLE,NYJ,1490.775,1634.526,0.3885699870666939,20,26,0.0
2010-11-14,2010,0,0,BUF,DET,1360.583,1347.872,0.6100067224051638,14,12,1.0
2010-11-14,2010,0,0,SF,LA,1438.716,1374.157,0.6782631916970069,23,20,1.0
2010-11-15,2010,0,0,WAS,PHI,1437.512,1576.778,0.394721205765613,28,59,0.0
2010-11-18,2010,0,0,MIA,CHI,1527.569,1527.714,0.5922646798440635,0,16,0.0
2010-11-21,2010,0,0,MIN,GB,1512.965,1621.913,0.4370889198110046,3,31,0.0
2010-11-21,2010,0,0,SF,TB,1447.14,1478.519,0.5482340438600014,0,21,0.0
2010-11-21,2010,0,0,PHI,NYG,1603.244,1554.396,0.6582177058872068,27,17,1.0
2010-11-21,2010,0,0,LA,ATL,1365.732,1610.374,0.262289526596861,17,34,0.0
2010-11-21,2010,0,0,CAR,BAL,1376.958,1602.175,0.2844929071805994,13,37,0.0
2010-11-21,2010,0,0,DAL,DET,1494.361,1339.596,0.7798974791528581,35,19,1.0
2010-11-21,2010,0,0,JAX,CLE,1475.291,1476.175,0.591236985087073,24,20,1.0
2010-11-21,2010,0,0,KC,ARI,1435.526,1425.935,0.6057256828782527,31,13,1.0
2010-11-21,2010,0,0,NO,SEA,1624.68,1447.316,0.8014146241665179,34,19,1.0
2010-11-21,2010,0,0,NE,IND,1632.095,1634.856,0.5886231555046817,31,28,1.0
2010-11-21,2010,0,0,TEN,WAS,1559.036,1411.046,0.7731298163939316,16,19,0.0
2010-11-21,2010,0,0,NYJ,HOU,1649.126,1469.329,0.8036341784341642,30,27,1.0
2010-11-21,2010,0,0,PIT,LV,1582.061,1476.77,0.7271625399107634,35,3,1.0
2010-11-21,2010,0,0,CIN,BUF,1438.076,1368.86,0.6840850893101135,31,49,0.0
2010-11-22,2010,0,0,LAC,DEN,1567.045,1412.815,0.7793683688803249,35,14,1.0
2010-11-25,2010,0,0,DAL,NO,1505.7,1634.6,0.4090635476943505,27,30,0.0
2010-11-25,2010,0,0,NYJ,CIN,1654.025,1395.174,0.8657899494375172,26,10,1.0
2010-11-25,2010,0,0,DET,NE,1328.257,1643.187,0.1917447687364858,24,45,0.0
2010-11-28,2010,0,0,LV,MIA,1459.061,1492.989,0.5445973669702812,17,33,0.0
2010-11-28,2010,0,0,NYG,JAX,1538.811,1488.076,0.6606571827548611,24,20,1.0
2010-11-28,2010,0,0,HOU,TEN,1464.43,1535.303,0.491548878519522,20,0,1.0
2010-11-28,2010,0,0,WAS,MIN,1434.779,1484.106,0.5225399728682348,13,17,0.0
2010-11-28,2010,0,0,SEA,KC,1437.397,1457.983,0.5635709794819069,24,42,0.0
2010-11-28,2010,0,0,BAL,TB,1619.247,1512.937,0.7283247531604585,17,10,1.0
2010-11-28,2010,0,0,DEN,LA,1400.412,1351.715,0.658022131728985,33,36,0.0
2010-11-28,2010,0,0,IND,LAC,1623.764,1579.448,0.6523247077577641,14,36,0.0
2010-11-28,2010,0,0,ATL,GB,1624.391,1650.773,0.5553480215536647,20,17,1.0
2010-11-28,2010,0,0,BUF,PIT,1411.762,1599.77,0.330020803659816,16,19,0.0
2010-11-28,2010,0,0,CHI,PHI,1562.294,1618.829,0.5121797043320334,31,26,1.0
2010-11-28,2010,0,0,CLE,CAR,1463.39,1359.887,0.7251157584706148,24,23,1.0
2010-11-29,2010,0,0,ARI,SF,1403.478,1412.722,0.5795575445614013,6,27,0.0
2010-12-02,2010,0,0,PHI,HOU,1601.415,1495.472,0.7279065317338066,34,24,1.0
2010-12-05,2010,0,0,TEN,JAX,1504.26,1477.699,0.628798889909461,6,17,0.0
2010-12-05,2010,0,0,BAL,PIT,1629.729,1608.435,0.6216948412073563,10,13,0.0
2010-12-05,2010,0,0,NYG,WAS,1549.188,1417.839,0.7558897751600715,31,7,1.0
2010-12-05,2010,0,0,MIA,CLE,1524.291,1466.93,0.669155177504209,10,13,0.0
2010-12-05,2010,0,0,GB,SF,1638.657,1449.482,0.8120138207323621,34,16,1.0
2010-12-05,2010,0,0,DET,CHI,1317.612,1579.708,0.2433176460232243,20,24,0.0
2010-12-05,2010,0,0,KC,DEN,1491.855,1381.173,0.7332758309885555,10,6,1.0
2010-12-05,2010,0,0,ARI,LA,1366.718,1370.953,0.58656700709758,6,19,0.0
2010-12-05,2010,0,0,IND,DAL,1580.718,1494.678,0.7046325175955708,35,38,0.0
2010-12-05,2010,0,0,CIN,NO,1388.545,1645.621,0.2486774579507482,30,34,0.0
2010-12-05,2010,0,0,MIN,BUF,1501.046,1403.097,0.7186974803075881,38,14,1.0
2010-12-05,2010,0,0,LAC,LV,1622.494,1427.76,0.8168498655207932,13,28,0.0
2010-12-05,2010,0,0,SEA,CAR,1403.525,1356.347,0.6560517530207898,31,14,1.0
2010-12-05,2010,0,0,TB,ATL,1502.455,1636.507,0.4019142779580331,24,28,0.0
2010-12-06,2010,0,0,NE,NYJ,1653.832,1660.654,0.5829510182218812,45,3,1.0
2010-12-09,2010,0,0,TEN,IND,1471.653,1559.741,0.466822519422139,28,30,0.0
2010-12-12,2010,0,0,NYJ,MIA,1630.09,1504.645,0.7495642327307652,6,10,0.0
2010-12-12,2010,0,0,NO,LA,1652.983,1402.792,0.8598910360464668,31,13,1.0
2010-12-12,2010,0,0,WAS,TB,1403.411,1489.911,0.4690984473297515,16,17,0.0
2010-12-12,2010,0,0,PIT,CIN,1626.376,1381.183,0.8563887524963006,23,7,1.0
2010-12-12,2010,0,0,DET,GB,1310.424,1648.581,0.1718719469769255,7,3,1.0
2010-12-12,2010,0,0,JAX,LV,1510.306,1479.119,0.6349928695375183,38,31,1.0
2010-12-12,2010,0,0,BUF,CLE,1386.236,1486.575,0.4493177515703844,13,6,1.0
2010-12-12,2010,0,0,CAR,ATL,1337.429,1649.05,0.1947141698130594,10,31,0.0
2010-12-12,2010,0,0,CHI,NE,1586.896,1684.396,0.4533646838429267,7,36,0.0
2010-12-12,2010,0,0,ARI,DEN,1334.879,1373.223,0.5382859763754243,43,13,1.0
2010-12-12,2010,0,0,DAL,PHI,1515.655,1613.523,0.4528397484876202,27,30,0.0
2010-12-12,2010,0,0,SF,SEA,1439.559,1422.443,0.61602206524667,40,21,1.0
2010-12-12,2010,0,0,LAC,KC,1571.135,1499.805,0.6867090890042381,31,0,1.0
2010-12-13,2010,0,0,HOU,BAL,1483.364,1611.788,0.4097260725364413,28,34,0.0
2010-12-13,2010,1,0,NYG,MIN,1563.616,1517.907,0.5654036311908228,21,3,1.0
2010-12-16,2010,0,0,LAC,SF,1591.584,1461.737,0.7542908457509002,34,7,1.0
2010-12-19,2010,0,0,TB,DET,1496.351,1340.859,0.7806150149828297,20,23,0.0
2010-12-19,2010,0,0,CAR,ARI,1326.605,1366.209,0.5364828295702797,19,12,1.0
2010-12-19,2010,0,0,CIN,CLE,1374.051,1463.299,0.4651608697526714,19,17,1.0
