TEAM,MIN,MIA,DET,IND,DEN,CIN,CAR,ATL,CLE,LV,GB,SF,ARI,DAL,BAL,LAC,TB,KC,CHI,PHI,BUF,PIT,SEA,LA,NE,JAX,HOU,NYG,NO,TEN,WAS,NYJ,STL,SD,OAK
MIN,0.0,1499.9409232568355,541.512034892673,510.43869512251706,699.8877327002697,604.5374611402596,937.870500628379,906.8707100873698,628.4742734737187,1298.9491809218125,257.0350283518001,1572.104439664541,1282.7630186444676,869.3435002682775,936.6198980922412,1530.2309550921625,1314.9968073933587,414.1922907577196,355.3445260090934,984.2152299336088,735.5750883785729,740.3358529272696,1391.7940750062894,1530.224712219359,1115.998098601391,1192.54823128899,1062.9328625467908,1009.9800259459706,1052.317411518442,696.7621803837674,938.7057933789944,1009.9773617483444,465.69626879374295,1524.291287161974,1573.413459402921
MIA,1499.9409232568355,0.0,1143.0625748012042,1013.1078994873092,1715.8924386527829,940.9838262367688,641.3894234802563,593.4923321573455,1077.5317897068053,2170.69152033287,1353.599981704195,2554.8100823377563,1982.3522116209824,1116.3654826404115,943.8723099796256,2332.686358381808,197.1412219071575,1224.5420701177693,1176.3548705797084,1006.84702468845,1164.7969958177157,1001.1948239723029,2719.8537619820327,2332.679027045237,1225.755901054106,313.43233607095345,961.3433163422498,1085.5692805601473,660.6602777641547,803.8133626168615,915.9954176650062,1085.5670317218376,1049.4665805178545,2258.373437298134,2573.358884679335
DET,541.512034892673,1143.0625748012042,0.0,241.1701051630905,1155.840992549612,237.03681321323853,505.5100536328629,597.7181601689915,90.04971571480037,1762.458973979473,292.6508342511388,2073.6995774717,1694.388546843188,1013.243873560692,396.8112671351581,1987.4641712509824,992.991767977378,640.3020173530379,236.6333200879164,443.13220005048106,218.79580226390607,204.37889551495363,1933.0993353207984,1987.4573388163983,602.6720257249773,833.9362904882861,1112.0310951880676,475.31115668191137,940.891395757005,470.7262128602503,401.4871139228263,475.3082218945088,454.19180350688566,1962.6917703219472,2078.5727405794205
IND,510.43869512251706,1013.1078994873092,241.1701051630905,0.0,999.8534997486818,99.2094342063913,427.5402864003775,426.2104796189812,263.3059515140354,1594.742823425941,341.7216749313175,1928.0106951327296,1503.5136283724487,777.1980850703178,509.4007826614401,1813.2063970983704,840.6853401999324,446.7634072347928,163.93097283587716,583.2140055662138,435.8342857291033,328.3116417996277,1867.7503938905209,1813.1993328434487,793.2656253127853,700.2240881504144,870.9314355280947,640.8388023952788,713.0270945515168,250.50217729091847,500.2667955415661,640.8353889341535,229.1361462196264,1779.4113393145856,1935.9728825143
DEN,699.8877327002697,1715.8924386527829,1155.840992549612,999.8534997486818,0.0,1093.01088508078,1356.852585497809,1210.8770618425417,1225.3241675810727,608.3122096918804,927.0414178733012,928.3229631883912,587.5819388747301,654.253204892832,1507.795924436106,836.8520425977783,1519.8164770417748,564.3079088198026,920.3110275672216,1576.8318165434753,1372.9327060938986,1318.1496228115975,1017.7691025997508,836.8454830456589,1758.4728796134104,1468.3251602988764,882.5532024519772,1624.4915974252556,1081.6031410866124,1022.5222916606476,1499.8697297737629,1624.4884094098622,797.0938658448104,825.0221124701629,936.965635139267
CIN,604.5374611402596,940.9838262367688,237.03681321323853,99.2094342063913,1093.01088508078,0.0,334.8674592939433,369.0435596851331,223.07509380053563,1683.769725455383,415.6999590444548,2021.3211316548493,1585.3206795282638,828.0611630782518,422.78458594385216,1900.0546164129964,776.9681712462399,534.4603996852201,251.1808430479909,501.3254268011014,392.30519607287897,256.5606848242376,1966.9119348660847,1900.047495197433,724.5861629528721,627.6559268733326,897.9276833487879,565.2878503759217,706.4434574056861,237.021625968014,410.9822374872912,565.284352696033,306.8045272693895,1863.4409332199607,2029.8083237500807
CAR,937.870500628379,641.3894234802563,505.5100536328629,427.5402864003775,1356.852585497809,334.8674592939433,0.0,226.12823586870456,436.3624756155604,1918.2528192442744,745.5912686782875,2276.08168123844,1787.6629956443603,944.958146889893,363.9406148328862,2121.46564397745,510.2522864597967,794.9971547461917,586.0116331528318,448.52402447017687,533.162199658375,363.6330145546588,2280.529249536084,2121.4583189729947,701.0873205477504,341.7526117051385,929.8778542414829,533.7243206812398,648.7223799618225,338.34735818614723,336.2437123676733,533.7211239034049,566.4716540780528,2071.906676476497,2287.6923842734504
ATL,906.8707100873698,593.4923321573455,597.7181601689915,426.2104796189812,1210.8770618425417,369.0435596851331,226.12823586870456,0.0,555.4928924941729,1744.1670252716387,767.80028873836,2112.3086709088743,1597.9116080285662,736.2708945283167,575.9157411617314,1938.477254170172,414.8719674128915,668.8788808568818,586.9203988062555,663.519596568108,693.1712380120209,521.518172421635,2177.442098118278,1938.4698721751995,917.0658667114724,287.0427331404855,705.0956225394312,747.4597118111755,424.42889750310206,213.9406970233802,549.88110820685,747.4563565485412,466.43226522933713,1882.8090295227223,2126.072890874843
CLE,628.4742734737187,1077.5317897068053,90.04971571480037,263.3059515140354,1225.3241675810727,223.07509380053563,436.3624756155604,555.4928924941729,0.0,1829.568029038653,382.194166524135,2147.5175298275585,1752.7315911259432,1039.252062924901,308.2732979715376,2052.6029644018586,936.0035151205526,694.273834753532,306.27639327707976,359.5793165168128,173.02440951659108,114.33658159745596,2020.254530658056,2052.596043709984,538.7152652852418,772.6651069039145,1119.9850324261313,399.4148757950356,925.4486088443726,458.7612708216465,311.9131381085787,399.4117372592472,490.53095062126977,2024.4431655169208,2153.172570151905
LV,1298.9491809218125,2170.69152033287,1762.458973979473,1594.742823425941,608.3122096918804,1683.769725455383,1918.2528192442744,1744.1670252716387,1829.568029038653,0.0,1533.946944128488,386.406303626624,242.51875642658868,1054.9941587321182,2104.1241980027,231.70296971947164,1984.1887919275848,1149.3132893226084,1526.2194928619406,2176.5443901097065,1980.2079872154104,1918.515861055632,875.0174249800541,231.6969585404977,2365.0535446674944,1969.7487407919664,1226.870751984132,2227.682727461011,1510.0601870980013,1579.9511870664862,2094.2199780657256,2227.67947533296,1379.5826904707387,251.2615792433889,407.9807375493182
GB,257.0350283518001,1353.599981704195,292.6508342511388,341.7216749313175,927.0414178733012,415.6999590444548,745.5912686782875,767.80028873836,382.194166524135,1533.946944128488,0.0,1821.737535702311,1495.8726275137487,945.8362756225072,689.3251965572091,1763.646600733338,1182.4013659513892,501.10996484785295,183.72179073371544,731.4654651114575,478.650281381081,496.2784984468845,1643.6968875663115,1763.6401036830082,859.4069043126703,1040.28647236968,1099.8233647110874,753.9153261318452,1011.4096261270532,579.8983480806701,694.058290995992,753.9127232402931,420.09097562292,1750.116146447247,1824.167175278497
SF,1572.104439664541,2554.8100823377563,2073.6995774717,1928.0106951327296,928.3229631883912,2021.3211316548493,2276.08168123844,2112.3086709088743,2147.5175298275585,386.406303626624,1821.737535702311,0.0,607.9506531459562,1438.4762387132805,2435.1273639058345,313.5342711753575,2366.9334763447664,1490.586111919504,1841.2643236224808,2502.4399300439686,2287.3198055130824,2243.8371120449424,704.4714149763877,313.5384881548067,2673.662924131066,2346.8092031527217,1613.276568505966,2546.805241917681,1894.4595394345688,1938.3944482087024,2427.740476295556,2546.802143031147,1723.4648805769564,418.7178636622223,31.31882809117972
ARI,1282.7630186444676,1982.3522116209824,1694.388546843188,1503.5136283724487,587.5819388747301,1585.3206795282638,1787.6629956443603,1597.9116080285662,1752.7315911259432,242.51875642658868,1495.8726275137487,607.9506531459562,0.0,878.5396778401,2008.0331610847668,350.33631985883,1801.735184073054,1058.9001610894177,1458.744756571038,2085.723841909112,1913.058846112961,1831.6795378720376,1104.2696825670223,350.3289851556555,2291.4269808154395,1803.0549883451504,1025.29282672173,2144.07202613304,1323.9971690975262,1452.7643001695697,1995.153552133548,2144.068638127519,1278.5973829231052,284.89815664316563,633.4286885410907
