date,season,team1,team2,elo1,elo2,elo_prob1,score1,score2
1990-09-09,1990,was,crd,1559.699,1410.495,0.7743532328170915,31,0
1990-09-09,1990,rai,den,1501.385,1570.469,0.4941229222319305,14,9
1990-09-09,1990,nyg,phi,1569.223,1543.441,0.6277516061525136,27,20
1990-09-09,1990,nwe,mia,1458.698,1477.589,0.5659693424009521,24,27
1990-09-09,1990,kan,min,1510.848,1555.945,0.5286114289924968,24,21
1990-09-09,1990,det,tam,1477.66,1404.21,0.6893285886212256,21,38
1990-09-09,1990,cin,nyj,1536.969,1412.497,0.7485113497629724,25,20
1990-09-09,1990,dal,sdg,1348.905,1477.726,0.4091734817632856,17,14
1990-09-09,1990,gnb,ram,1491.526,1600.272,0.4373750399212402,36,24
1990-09-09,1990,cle,pit,1540.898,1536.467,0.5986100447635101,13,3
1990-09-09,1990,chi,sea,1461.252,1477.958,0.5690564695955058,17,0
1990-09-09,1990,buf,clt,1544.015,1524.576,0.6191801785453958,26,10
1990-09-09,1990,atl,oti,1376.099,1497.335,0.419769317098531,47,27
1990-09-10,1990,nor,sfo,1574.216,1698.142,0.4160025265208183,12,13
1990-09-16,1990,tam,ram,1446.734,1570.825,0.4157717923599456,14,35
1990-09-16,1990,sdg,cin,1460.855,1545.267,0.4720929195490453,16,21
1990-09-16,1990,det,atl,1435.135,1412.356,0.6237032285659788,21,14
1990-09-16,1990,sfo,was,1703.758,1573.952,0.7542471010157198,26,13
1990-09-16,1990,sea,rai,1453.581,1519.547,0.4986098178323547,13,17
1990-09-16,1990,pit,oti,1517.806,1461.078,0.668347983583538,20,9
1990-09-16,1990,phi,crd,1528.573,1396.242,0.7569313313789389,21,23
1990-09-16,1990,nyj,cle,1404.2,1559.559,0.3728175764715993,24,21
1990-09-16,1990,min,nor,1542.993,1568.599,0.5564508165648642,32,3
1990-09-16,1990,mia,buf,1493.617,1564.796,0.4911086415951791,30,7
1990-09-16,1990,clt,nwe,1503.794,1442.67,0.6739330632765533,14,16
1990-09-16,1990,dal,nyg,1365.775,1584.091,0.2926480120994792,7,28
1990-09-16,1990,gnb,chi,1520.974,1485.629,0.6405224059741618,13,31
1990-09-17,1990,den,kan,1552.307,1523.801,0.6314084420090061,24,23
1990-09-23,1990,cle,sdg,1541.425,1444.086,0.7179870222042456,14,24
1990-09-23,1990,chi,min,1525.151,1572.634,0.5251876509310011,19,16
1990-09-23,1990,cin,nwe,1562.036,1458.379,0.7252924220053968,41,7
1990-09-23,1990,den,sea,1557.208,1437.539,0.7432711057930409,34,31
1990-09-23,1990,gnb,kan,1481.452,1518.899,0.5395690378322986,3,17
1990-09-23,1990,nor,crd,1538.958,1414.512,0.7484831748892636,28,7
1990-09-23,1990,nyg,mia,1601.004,1526.054,0.6911747193061057,20,3
1990-09-23,1990,oti,clt,1445.459,1488.086,0.5321529049258455,24,10
1990-09-23,1990,sfo,atl,1715.674,1397.307,0.9008618735853166,19,13
1990-09-23,1990,rai,pit,1535.59,1533.425,0.5954718570136417,20,3
1990-09-23,1990,ram,phi,1595.856,1510.303,0.7040487245084049,21,27
1990-09-23,1990,was,dal,1562.036,1348.862,0.8321997572484606,19,15
1990-09-23,1990,tam,det,1421.703,1450.185,0.5523609485814504,23,20
1990-09-24,1990,nyj,buf,1422.334,1532.36,0.4355627138432069,7,30
1990-09-30,1990,sdg,oti,1481.262,1470.543,0.6072753545868012,7,17
1990-09-30,1990,buf,den,1559.489,1563.775,0.586495810429355,29,28
1990-09-30,1990,pit,mia,1510.733,1509.269,0.59449944469005,6,28
1990-09-30,1990,rai,chi,1558.282,1538.212,0.6200362957079689,24,10
1990-09-30,1990,crd,was,1400.196,1566.831,0.3577695596060858,10,38
1990-09-30,1990,det,gnb,1437.976,1451.858,0.5730384516795434,21,24
1990-09-30,1990,kan,cle,1548.494,1504.249,0.6522320079709724,34,0
1990-09-30,1990,min,tam,1559.574,1433.912,0.7497986476329905,20,23
1990-09-30,1990,nwe,nyj,1440.236,1395.204,0.6532588933959781,13,37
1990-09-30,1990,nyg,dal,1617.788,1344.067,0.8754286287577779,31,17
1990-09-30,1990,phi,clt,1539.716,1463.002,0.6933379806016711,23,24
1990-10-01,1990,sea,cin,1430.972,1580.179,0.3811347770569511,31,16
1990-10-07,1990,pit,sdg,1472.29,1451.101,0.6215526749741783,36,14
1990-10-07,1990,buf,rai,1565.068,1578.095,0.5742422046546661,38,24
1990-10-07,1990,atl,nor,1394.021,1553.274,0.367591359804572,28,27
1990-10-07,1990,chi,gnb,1518.399,1468.124,0.6600632833468612,27,13
1990-10-07,1990,clt,kan,1473.276,1572.052,0.4515449785781116,23,19
1990-10-07,1990,dal,tam,1338.22,1456.673,0.4236761923940386,14,10
1990-10-07,1990,mia,nyj,1547.711,1439.473,0.7305152079190699,20,16
1990-10-07,1990,min,det,1536.812,1421.71,0.7382225169449246,27,34
1990-10-07,1990,nwe,sea,1395.967,1466.655,0.4918150412312413,20,33
1990-10-07,1990,oti,sfo,1500.705,1718.96,0.292720706056021,21,24
1990-10-07,1990,ram,cin,1566.443,1544.496,0.6225785095025044,31,34
1990-10-08,1990,den,cle,1558.196,1480.69,0.6943064869443316,29,30
1990-10-14,1990,chi,ram,1535.893,1548.471,0.5748739996544955,38,9
1990-10-14,1990,oti,cin,1493.118,1562.468,0.4937401738677654,48,17
1990-10-14,1990,nor,cle,1544.115,1490.982,0.6637449939961522,25,20
1990-10-14,1990,kan,det,1554.123,1455.149,0.7198888265460043,43,24
1990-10-14,1990,was,nyg,1589.861,1623.635,0.5448172189064486,20,24
1990-10-14,1990,den,pit,1547.905,1495.128,0.6632874621606701,17,34
1990-10-14,1990,crd,dal,1377.165,1357.233,0.6198491260695324,20,3
1990-10-14,1990,atl,sfo,1403.181,1726.547,0.1843312000491676,35,45
