home_team,away_team,season,week,is_neutral,spread_line,result
NO,MIN,2010,1,0,4.5,5.0
BUF,MIA,2010,1,0,-3.0,-5.0
CHI,DET,2010,1,0,6.5,5.0
HOU,IND,2010,1,0,-1.0,10.0
JAX,DEN,2010,1,0,3.0,7.0
NE,CIN,2010,1,0,5.0,14.0
NYG,CAR,2010,1,0,5.5,13.0
PIT,ATL,2010,1,0,-1.0,6.0
TB,CLE,2010,1,0,2.5,3.0
TEN,LV,2010,1,0,6.5,25.0
PHI,GB,2010,1,0,-3.0,-7.0
SEA,SF,2010,1,0,-3.0,25.0
LA,ARI,2010,1,0,-3.0,-4.0
WAS,DAL,2010,1,0,-3.5,6.0
NYJ,BAL,2010,1,0,1.0,-1.0
KC,LAC,2010,1,0,-4.0,7.0
ATL,ARI,2010,2,0,7.0,34.0
CAR,TB,2010,2,0,4.0,-13.0
CIN,BAL,2010,2,0,-2.5,5.0
CLE,KC,2010,2,0,3.0,-2.0
DAL,CHI,2010,2,0,7.0,-7.0
DET,PHI,2010,2,0,-6.5,-3.0
GB,BUF,2010,2,0,12.5,27.0
MIN,MIA,2010,2,0,5.5,-4.0
TEN,PIT,2010,2,0,6.0,-8.0
DEN,SEA,2010,2,0,3.5,17.0
LV,LA,2010,2,0,3.0,2.0
NYJ,NE,2010,2,0,-3.0,14.0
LAC,JAX,2010,2,0,7.0,25.0
WAS,HOU,2010,2,0,-2.5,-3.0
IND,NYG,2010,2,0,4.0,24.0
SF,NO,2010,2,0,-4.5,-3.0
BAL,CLE,2010,3,0,12.0,7.0
CAR,CIN,2010,3,0,-3.0,-13.0
HOU,DAL,2010,3,0,1.5,-14.0
KC,SF,2010,3,0,-2.5,21.0
MIN,DET,2010,3,0,13.0,14.0
NE,BUF,2010,3,0,14.0,8.0
NO,ATL,2010,3,0,3.0,-3.0
NYG,TEN,2010,3,0,3.0,-19.0
TB,PIT,2010,3,0,-2.0,-25.0
JAX,PHI,2010,3,0,-2.0,-25.0
LA,WAS,2010,3,0,-4.5,14.0
ARI,LV,2010,3,0,5.5,1.0
DEN,IND,2010,3,0,-5.5,-14.0
SEA,LAC,2010,3,0,-3.5,7.0
MIA,NYJ,2010,3,0,1.0,-8.0
CHI,GB,2010,3,0,-3.0,3.0
ATL,SF,2010,4,0,7.0,2.0
BUF,NYJ,2010,4,0,-5.5,-24.0
CLE,CIN,2010,4,0,-1.5,3.0
GB,DET,2010,4,0,14.5,2.0
NO,CAR,2010,4,0,12.5,2.0
PIT,BAL,2010,4,0,2.0,-3.0
LA,SEA,2010,4,0,-1.5,17.0
TEN,DEN,2010,4,0,6.0,-6.0
JAX,IND,2010,4,0,-7.0,3.0
LV,HOU,2010,4,0,-3.5,-7.0
PHI,WAS,2010,4,0,5.0,-5.0
LAC,ARI,2010,4,0,10.0,31.0
NYG,CHI,2010,4,0,3.5,14.0
MIA,NE,2010,4,0,1.0,-27.0
BAL,DEN,2010,5,0,8.0,14.0
BUF,JAX,2010,5,0,2.5,-10.0
CAR,CHI,2010,5,0,2.5,-17.0
CIN,TB,2010,5,0,6.5,-3.0
CLE,ATL,2010,5,0,-3.0,-10.0
DET,LA,2010,5,0,3.0,38.0
HOU,NYG,2010,5,0,3.0,-24.0
IND,KC,2010,5,0,7.5,10.0
WAS,GB,2010,5,0,-2.5,3.0
ARI,NO,2010,5,0,-6.5,10.0
DAL,TEN,2010,5,0,6.5,-7.0
LV,LAC,2010,5,0,-7.0,8.0
SF,PHI,2010,5,0,3.0,-3.0
NYJ,MIN,2010,5,0,4.0,9.0
CHI,SEA,2010,6,0,6.0,-3.0
GB,MIA,2010,6,0,3.0,-3.0
HOU,KC,2010,6,0,4.5,4.0
NE,BAL,2010,6,0,3.0,3.0
NYG,DET,2010,6,0,10.0,8.0
